time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,1,0.6198613047599792
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,2,0.589682400226593
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,3,0.5608360171318054
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,4,0.5332011580467224
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,5,0.5067626237869263
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,6,0.4815340042114258
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,7,0.4574858844280243
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,8,0.4345707297325134
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,9,0.4127461910247803
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,10,0.39195889234542847
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,11,0.37216418981552124
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,12,0.3533114790916443
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,13,0.3353593945503235
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,14,0.31826460361480713
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,15,0.3019854724407196
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,16,0.28648582100868225
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,17,0.27172836661338806
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,18,0.2576795518398285
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,19,0.24430666863918304
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,20,0.2315773367881775
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,21,0.21946406364440918
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,22,0.20793674886226654
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,23,0.1969718635082245
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,24,0.186543270945549
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,25,0.17661872506141663
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,26,0.16718605160713196
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,27,0.15821807086467743
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,28,0.14969176054000854
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,29,0.14159069955348969
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,30,0.13389410078525543
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,31,0.12658613920211792
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,32,0.11963962018489838
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,33,0.11304733902215958
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,34,0.10679280757904053
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,35,0.10085487365722656
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,36,0.09522193670272827
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,37,0.0898798257112503
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,38,0.08481539040803909
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,39,0.08001428842544556
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,40,0.075465627014637
2023-02-26,site_0030,2023-02-26,2023-03-04,site,,1,41,0.07115648686885834
